date,repo_rate
2020-10-09,4.0
2020-10-11,4.0
2020-10-12,4.0
2020-11-02,5.15
2020-11-03,5.15
2020-11-05,4.4
2020-11-06,4.0
2020-11-08,4.0
2020-11-09,4.0
2020-11-11,4.0
2020-11-12,4.0
2020-12-02,5.15
2020-12-03,5.15
2020-12-05,4.4
2020-12-06,4.0
2020-12-08,4.0
2020-12-10,4.0
2020-12-11,4.0
2021-01-01,4.0
2021-01-02,4.0
2021-01-03,4.0
2021-01-04,4.0
2021-01-06,4.0
2021-01-07,4.0
2021-01-09,4.0
2021-01-10,4.0
2021-01-11,4.0
2021-01-12,4.0
2021-02-02,4.0
2021-02-03,4.0
2021-02-04,4.0
2021-02-06,4.0
2021-02-07,4.0
2021-02-08,4.0
2021-02-09,4.0
2021-02-11,4.0
2021-02-12,4.0
2021-03-02,4.0
2021-03-03,4.0
2021-03-05,4.0
2021-03-06,4.0
2021-03-08,4.0
2021-03-09,4.0
2021-03-11,4.0
2021-03-12,4.0
2021-04-01,4.0
2021-04-02,4.0
2021-04-03,4.0
2021-04-05,4.0
2021-04-06,4.0
2021-04-08,4.0
2021-04-10,4.0
2021-04-11,4.0
2021-05-01,4.0
2021-05-02,4.0
2021-05-03,4.0
2021-05-04,4.0
2021-05-05,4.0
2021-05-07,4.0
2021-05-08,4.0
2021-05-10,4.0
2021-05-11,4.0
2021-06-01,4.0
2021-06-04,4.0
2021-06-05,4.0
2021-06-07,4.0
2021-06-08,4.0
2021-06-09,4.0
2021-06-10,4.0
2021-06-12,4.0
2021-07-01,4.0
2021-07-04,4.0
2021-07-05,4.0
2021-07-06,4.0
2021-07-07,4.0
2021-07-09,4.0
2021-07-10,4.0
2021-07-12,4.0
2021-08-01,4.0
2021-08-02,4.0
2021-08-03,4.0
2021-08-04,4.0
2021-08-06,4.0
2021-08-07,4.0
2021-08-09,4.0
2021-08-10,4.0
2021-08-11,4.0
2021-08-12,4.0
2021-09-02,4.0
2021-09-03,4.0
2021-09-04,4.0
2021-09-06,4.0
2021-09-07,4.0
2021-09-08,4.0
2021-09-09,4.0
2021-09-11,4.0
2021-09-12,4.0
2021-10-02,4.0
2021-10-03,4.0
2021-10-05,4.0
2021-10-06,4.0
2021-10-08,4.0
2021-10-09,4.0
2021-10-11,4.0
2021-10-12,4.0
2021-11-01,4.0
2021-11-02,4.0
2021-11-03,4.0
2021-11-05,4.0
2021-11-06,4.0
2021-11-08,4.0
2021-11-10,4.0
2021-11-11,4.0
2021-12-01,4.0
2021-12-02,4.0
2021-12-03,4.0
2021-12-04,4.0
2021-12-05,4.0
2021-12-07,4.0
2021-12-08,4.0
2021-12-10,4.0
2021-12-11,4.0
2022-01-02,4.0
2022-01-03,4.0
2022-01-04,4.0
2022-01-06,4.4
2022-01-07,4.9
2022-01-08,4.9
2022-01-09,5.4
2022-01-11,5.9
2022-01-12,5.9
2022-02-02,4.0
2022-02-03,4.0
2022-02-05,4.0
2022-02-06,4.4
2022-02-08,4.9
2022-02-09,5.4
2022-02-11,5.9
2022-02-12,5.9
2022-03-01,4.0
2022-03-02,4.0
2022-03-03,4.0
2022-03-05,4.0
2022-03-06,4.4
2022-03-08,4.9
2022-03-10,5.9
2022-03-11,5.9
2022-04-01,4.0
2022-04-02,4.0
2022-04-03,4.0
2022-04-04,4.0
2022-04-05,4.4
2022-04-07,4.9
2022-04-08,4.9
2022-04-10,5.9
2022-04-11,5.9
2022-05-01,4.0
2022-05-04,4.0
2022-05-05,4.4
2022-05-07,4.9
2022-05-08,5.4
2022-05-09,5.4
2022-05-10,5.9
2022-05-12,5.9
2022-06-01,4.0
2022-06-04,4.0
2022-06-05,4.4
2022-06-06,4.4
2022-06-07,4.9
2022-06-09,5.4
2022-06-10,5.9
2022-06-12,5.9
2022-07-01,4.0
2022-07-02,4.0
2022-07-03,4.0
2022-07-04,4.0
2022-07-06,4.4
2022-07-07,4.9
2022-07-09,5.4
2022-07-10,5.9
2022-07-11,5.9
2022-07-12,6.25
2022-08-02,4.0
2022-08-03,4.0
2022-08-04,4.0
2022-08-06,4.9
2022-08-07,4.9
2022-08-08,5.4
2022-08-09,5.4
2022-08-11,5.9
2022-08-12,6.25
2022-09-02,4.0
2022-09-03,4.0
2022-09-05,4.4
2022-09-06,4.9
2022-09-08,5.4
2022-09-09,5.4
2022-09-11,5.9
2022-09-12,6.25
2022-10-01,4.0
2022-10-02,4.0
2022-10-03,4.0
2022-10-05,4.4
2022-10-06,4.9
2022-10-08,5.4
2022-10-10,5.9
2022-10-11,5.9
2022-11-01,4.0
2022-11-02,4.0
2022-11-03,4.0
2022-11-04,4.0
2022-11-05,4.4
2022-11-07,4.9
2022-11-08,5.4
2022-11-10,5.9
2022-11-11,5.9
2022-12-01,4.0
2022-12-04,4.0
2022-12-05,4.4
2022-12-07,4.9
2022-12-08,5.4
2022-12-09,5.4
2022-12-10,5.9
2022-12-12,6.25
2023-01-02,6.25
2023-01-03,6.5
2023-01-05,6.5
2023-01-06,6.5
2023-01-08,6.5
2023-01-09,6.5
2023-01-11,6.5
2023-01-12,6.5
2023-02-01,6.25
2023-02-02,6.25
2023-02-03,6.5
2023-02-05,6.5
2023-02-06,6.5
2023-02-08,6.5
2023-02-10,6.5
2023-02-11,6.5
2023-03-01,6.25
2023-03-02,6.25
2023-03-03,6.5
2023-03-04,6.5
2023-03-05,6.5
2023-03-07,6.5
2023-03-08,6.5
