date,risk_free_rate
2018-06-27,6.5219
2018-06-28,6.5219
2018-06-29,6.5219
2018-07-02,6.5219
2018-07-03,6.5219
2018-07-04,6.4805
2018-07-05,6.4805
2018-07-06,6.4805
2018-07-09,6.4805
2018-07-10,6.4805
2018-07-11,6.5219
2018-07-12,6.5219
2018-07-13,6.5219
2018-07-16,6.5219
2018-07-17,6.5219
2018-07-18,6.5219
2018-07-19,6.5219
2018-07-20,6.5219
2018-07-23,6.5219
2018-07-24,6.5219
2018-07-25,6.6877
2018-07-26,6.6877
2018-07-27,6.6877
2018-07-30,6.6877
2018-07-31,6.6877
2018-08-01,6.7292
2018-08-02,6.7292
2018-08-03,6.7292
2018-08-06,6.7292
2018-08-07,6.7292
2018-08-08,6.6877
2018-08-09,6.6877
2018-08-10,6.6877
2018-08-13,6.6877
2018-08-14,6.7706
2018-08-15,6.7706
2018-08-16,6.7706
2018-08-17,6.7706
2018-08-20,6.7706
2018-08-21,6.8121
2018-08-22,6.8121
2018-08-23,6.8121
2018-08-24,6.8121
2018-08-27,6.8121
2018-08-28,6.8121
2018-08-29,6.8121
2018-08-30,6.8121
2018-08-31,6.8121
2018-09-03,6.8121
2018-09-04,6.8121
2018-09-05,6.8121
2018-09-06,6.8536
2018-09-07,6.8536
2018-09-10,6.8536
2018-09-11,6.8536
2018-09-12,6.9781
2018-09-13,6.9781
2018-09-14,6.9781
2018-09-17,6.9781
2018-09-18,6.9781
2018-09-19,7.0612
2018-09-20,7.0612
2018-09-21,7.0612
2018-09-24,7.0612
2018-09-25,7.0612
2018-09-26,7.1858
2018-09-27,7.1858
2018-09-28,7.1858
2018-10-01,7.1858
2018-10-02,7.1858
2018-10-03,7.1443
2018-10-04,7.1443
2018-10-05,7.1443
2018-10-08,7.1443
2018-10-09,7.1443
2018-10-10,6.9366
2018-10-11,6.9366
2018-10-12,6.9366
2018-10-15,6.9366
2018-10-16,6.9366
2018-10-17,6.9366
2018-10-18,6.9366
2018-10-19,6.9366
2018-10-22,6.9366
2018-10-23,6.9366
2018-10-24,6.9366
2018-10-25,6.9366
2018-10-26,6.9366
2018-10-29,6.9366
2018-10-30,6.9366
2018-10-31,6.9366
2018-11-01,6.9366
2018-11-02,6.9366
2018-11-05,6.9366
2018-11-06,6.9366
2018-11-07,6.9366
2018-11-08,6.9366
2018-11-09,6.9366
2018-11-12,6.9366
2018-11-13,6.9366
2018-11-14,6.8951
2018-11-15,6.8951
2018-11-16,6.8951
2018-11-19,6.8951
