date,vix_level,vix_5d_chg,vix_20d_chg,vix_zscore,vix_above_25,usdinr_5d_chg,usdinr_20d_vol,crude_5d_chg,crude_20d_vol,repo_rate,rfr,rate_spread,market_ret_5d,market_ret_20d,market_vol_20d,market_vol_60d,bank_mom_10d,it_mom_10d,fmcg_mom_10d,bank_vs_nifty,fii_net,dii_net,combined_flow,fii_dii_ratio
2018-01-12,13.729999542236328,0.04729213591117842,-0.13918497138409003,0.8069563651341997,0,0.004762251352861568,0.0023506010488821435,0.04549861221713858,0.008428318931614533,6.5,6.3149,0.18510000000000026,0.011525534044033853,0.04679354387317654,0.0041820854442999045,0.005583322983453663,0.010111586499339964,0.051105373996438885,0.021658333260768714,-0.036681957373836574,-6411.6,8142.9,1731.2999999999993,-0.787288645489262
2018-01-15,14.3100004196167,0.04148476404611667,-0.1279707158636314,1.232188802715498,0,0.00510040775038334,0.002257154331588526,0.040789649714588094,0.008539390117143771,6.5,6.3149,0.18510000000000026,0.011041476129285304,0.04663685623599463,0.004175430660872323,0.005604539341654499,0.020530237409621677,0.027649255124318373,0.011843278590824013,-0.026106618826372954,-6411.6,8142.9,1731.2999999999993,-0.787288645489262
2018-01-16,14.09000015258789,0.017328502852553385,-0.05689420693903413,1.0821142945119824,0,0.00108997199997507,0.002259652844334806,0.012155812575607605,0.009165792799086806,6.5,6.3149,0.18510000000000026,0.005947325641504152,0.03491896364264269,0.004177426425016911,0.005559742863193557,0.024815574938841678,0.0689817161770705,0.012771685622315232,-0.010103388703801015,-6411.6,8142.9,1731.2999999999993,-0.787288645489262
2018-01-17,13.859999656677246,-0.012820534591513222,0.05640242207110591,0.9217097961897018,0,0.005613098590928622,0.0028002244684379256,0.006272586396785407,0.00899253698877688,6.5,6.3563,0.14369999999999994,0.014598217707347684,0.03776187856236254,0.004351495614545654,0.005627704156337158,0.037615160236944334,0.07837962023019074,0.014763775483272568,-0.00014671832541820334,-6411.6,8142.9,1731.2999999999993,-0.787288645489262
2018-01-18,13.960000038146973,-0.0035688929277665205,0.14520102696410553,0.9984560367877874,0,0.001018966923964193,0.002813389845941055,0.002348361562655832,0.009090328070617075,6.5,6.3563,0.14369999999999994,0.015446390446714954,0.03325461278873448,0.004178410316899798,0.005629446832825819,0.04134441056375415,0.0811570615946664,0.024363939109347754,0.00808979777501967,-6411.6,8142.9,1731.2999999999993,-0.787288645489262
2018-01-19,13.979999542236328,0.018208303593233888,0.14684167542824,1.015521371464346,0,0.0030657054072813494,0.0027767638041605483,-0.014569132224607095,0.009537486015645982,6.5,6.3563,0.14369999999999994,0.019786582496229554,0.04222963127284132,0.004265995209520411,0.00560044840867084,0.04981476771359361,0.08248654054277083,0.022149842510115647,0.007585136440752288,-6411.6,8142.9,1731.2999999999993,-0.787288645489262
2018-01-22,15.390000343322754,0.07547169056861436,0.27295286592932677,2.0378367622048486,0,0.0038235455343826885,0.00276559138492502,-0.01267723908574414,0.009552875843066522,6.5,6.3563,0.14369999999999994,0.02069845203412217,0.04914453385046269,0.004333672211173007,0.0056264263181782445,0.051801026790295523,0.09070007008108227,0.017793740047620688,0.002656492939832833,-6411.6,8142.9,1731.2999999999993,-0.787288645489262
2018-01-23,16.229999542236328,0.15188072153820298,0.4003450671752051,2.6311308689382216,0,0.005634211442505865,0.002766428853999579,0.01154461611362212,0.009848220115423731,6.5,6.3563,0.14369999999999994,0.03518976330386514,0.05476721003912276,0.004678371806668436,0.005748922254858001,0.06356100618262417,0.10138009514691859,0.018624205352766765,0.008793796143501412,-6411.6,8142.9,1731.2999999999993,-0.787288645489262
2018-01-24,18.040000915527344,0.3015873998839764,0.49709548796506553,3.840613927502021,0,-0.0038170072185463866,0.0027995377112895437,0.02531389011503027,0.009123512092343796,6.5,6.3977,0.10229999999999961,0.027197682550151373,0.05131228485433665,0.004706159538727809,0.005738912480644521,0.06722215508241014,0.09450893326406629,0.024627577771022757,0.01590987022807349,-6411.6,8142.9,1731.2999999999993,-0.787288645489262
2018-01-25,17.510000228881836,0.25429800723740437,0.40192158124549415,3.3983874032066685,0,-0.0038790504544721216,0.002851797007335273,0.024101295397910505,0.00893463008969086,6.5,6.3977,0.10229999999999961,0.02308819387765546,0.05371324800987758,0.004561572735361757,0.005726805783498313,0.06723929748649127,0.08051228249630071,0.014859218628810567,0.013526049476613684,-6411.6,8142.9,1731.2999999999993,-0.787288645489262
2018-01-29,17.889999389648438,0.27968526290714313,0.454471472539026,3.595579657100126,0,-0.004670526365412542,0.002824229121594157,0.03397517015615659,0.008973737199640834,6.5,6.3977,0.10229999999999961,0.021403688262860356,0.060411824225590424,0.004504842663354923,0.005633829502663567,0.0657318044896531,0.09029200357947254,0.013175455186047458,0.0053199802640626764,-6411.6,8142.9,1731.2999999999993,-0.787288645489262
